,ID,City,Country,Latitude,Temperature (F),Cloudiness (%),Humidity (%),Wind Speed (MPH)
0,1267390,Kavaratti,IN,10.57,83.23160000000001,0,100,2.1474641778617323
1,49747,Xuddur,SO,4.12,71.98160000000001,0,54,10.64784321523109
2,2075265,Busselton,AU,-33.64,62.89159999999998,0,100,11.31892577081288
3,2411397,Georgetown,SH,-7.93,78.77659999999997,24,100,10.983384493021985
4,3370903,Jamestown,SH,-15.94,73.51159999999999,92,100,10.759690307828054
5,2122605,Okhotsk,RU,59.36,5.6515999999999735,0,100,5.391029863173723
6,3456160,Olinda,BR,-22.82,75.40159999999997,76,98,1.0289932518920801
7,921889,Fomboni,KM,-12.28,83.41159999999996,80,100,3.2659351038313846
8,1852357,Shimoda,JP,34.7,58.93160000000006,20,100,39.28069892005418
9,3893726,Constitucion,CL,-35.33,59.83160000000004,0,97,8.187207178097854
10,2079582,Alyangula,AU,-13.85,85.52659999999997,0,98,11.430772863409846
11,1215502,Banda Aceh,ID,5.56,72.16159999999996,8,100,1.7000758074738713
12,3424607,Tasiilaq,GL,65.61,22.999999999999943,20,49,1.1184709259696521
13,3347019,Namibe,AO,-15.19,74.45660000000004,24,100,10.535996122634124
14,693995,Shklo,UA,49.95,-1.818399999999997,44,70,2.930393826040489
15,3416888,Grindavik,IS,63.84,40.04599999999999,90,100,2.2369418519393043
16,3665202,Aripuana,BR,-9.17,85.66159999999996,64,67,1.3645345296829756
18,3590069,San Jose,GT,16.98,82.96160000000003,12,47,4.160711844607106
19,3526756,Isla Mujeres,MX,21.23,82.39999999999992,40,58,10.2899325189208
20,3372707,Ribeira Grande,PT,38.52,56.231600000000014,92,100,11.430772863409846
21,3392054,Pinheiro,BR,-2.53,75.6266,44,95,2.3711583630556627
22,3374210,Sao Filipe,CV,14.9,68.8766,0,100,9.081983918873576
23,3458498,Linhares,BR,-19.38,78.91159999999996,0,74,10.759690307828054
24,1510131,Beya,RU,53.05,8.486599999999953,92,79,1.7000758074738713
25,1058381,Morondava,MG,-20.3,79.58660000000003,20,100,3.489629289025315
26,1066831,Beroroha,MG,-21.68,70.22660000000002,56,100,3.1540880112344194
27,4030556,Rikitea,PF,-23.12,81.65660000000008,92,98,13.779561807946115
28,371745,Kutum,SD,14.2,68.38159999999999,56,49,4.496253122398001
30,1634614,Nabire,ID,-3.36,75.22159999999991,56,89,0.9171461592951148
31,3883457,Lebu,CL,-37.62,58.481600000000014,0,94,15.009879826512734
32,3919886,San Pedro,BO,-17.27,73.39999999999992,75,43,20.80355922303553
33,555624,Ivangorod,RU,59.38,-6.588400000000036,0,91,2.7066996408465585
34,1529484,Hami,CN,42.84,27.386599999999987,32,78,6.621347881740341
36,1106677,Bambous Virieux,MU,-20.34,79.54160000000007,88,87,10.424149030037158
38,6325479,Beaupre,CA,47.04,32.97199999999998,90,92,12.750568556054036
39,3374333,Praia,CV,14.92,68.15660000000008,8,100,8.410901363291785
41,2640416,Sandwick,GB,54.57,21.199999999999932,76,92,19.461394111871947
42,136702,Dehloran,IR,32.69,46.51159999999999,0,84,1.4763816222799409
43,1265025,Latehar,IN,23.74,58.57159999999993,0,85,5.391029863173723
44,2015913,Suntar,RU,62.16,-19.36840000000001,56,83,3.1540880112344194
45,2243271,Cabinda,AO,-5.56,79.0016,88,100,2.7066996408465585
